<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.20	17:15:00	1778.31	1783.06	1777.84	1781.94	1862	0	0
2021.10.20	17:30:00	1781.97	1784.01	1781.36	1782.51	1893	0	0
2021.10.20	17:45:00	1782.51	1784.78	1782.14	1782.62	1585	0	0
2021.10.20	18:00:00	1782.62	1784.20	1781.77	1783.54	1512	0	0
2021.10.20	18:15:00	1783.54	1784.20	1782.12	1783.96	1185	0	0
2021.10.20	18:30:00	1783.97	1784.67	1783.33	1783.49	1206	0	0
2021.10.20	18:45:00	1783.51	1784.78	1783.15	1783.59	913	0	0
2021.10.20	19:00:00	1783.59	1784.34	1783.06	1784.01	945	0	0
2021.10.20	19:15:00	1784.08	1785.50	1783.51	1785.06	914	0	0
2021.10.20	19:30:00	1785.09	1786.57	1784.73	1785.10	1078	0	0
2021.10.20	19:45:00	1785.08	1786.87	1784.98	1786.76	1112	0	0
2021.10.20	20:00:00	1786.76	1787.64	1783.14	1783.71	1949	0	0
2021.10.20	20:15:00	1783.71	1785.29	1783.11	1784.34	1464	0	0
2021.10.20	20:30:00	1784.29	1785.34	1783.57	1784.95	984	0	0
2021.10.20	20:45:00	1784.97	1785.65	1784.82	1785.51	832	0	0
2021.10.20	21:00:00	1785.48	1786.24	1785.13	1785.85	910	0	0
2021.10.20	21:15:00	1785.90	1786.18	1785.30	1785.71	801	0	0
2021.10.20	21:30:00	1785.71	1786.64	1785.51	1786.34	618	0	0
2021.10.20	21:45:00	1786.34	1786.93	1786.03	1786.42	652	0	0
2021.10.20	22:00:00	1786.31	1786.40	1784.46	1784.64	570	0	0
2021.10.20	22:15:00	1784.65	1784.93	1784.02	1784.17	453	0	0
2021.10.20	22:30:00	1784.23	1784.76	1784.05	1784.33	508	0	0
2021.10.20	22:45:00	1784.34	1785.53	1784.32	1785.37	674	0	0
2021.10.20	23:00:00	1785.46	1785.89	1784.16	1784.31	404	0	0
2021.10.20	23:15:00	1784.32	1784.42	1781.69	1781.78	400	0	0
2021.10.20	23:30:00	1781.81	1782.47	1780.85	1781.58	407	0	0
2021.10.20	23:45:00	1781.61	1782.34	1781.48	1781.98	282	0	6
2021.10.21	01:00:00	1781.94	1783.02	1781.94	1782.85	250	0	0
2021.10.21	01:15:00	1782.87	1782.87	1782.29	1782.50	195	0	3
2021.10.21	01:30:00	1782.59	1782.94	1782.57	1782.75	183	0	0
2021.10.21	01:45:00	1782.68	1782.68	1781.95	1782.03	87	0	0
2021.10.21	02:00:00	1782.04	1782.67	1781.94	1782.25	182	0	0
