<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.16	03:30:00	2052.24	2053.31	2052.05	2052.48	988	0	5
2024.01.16	03:45:00	2052.52	2053.05	2050.22	2050.89	806	0	5
2024.01.16	04:00:00	2050.90	2051.52	2050.36	2051.27	662	0	5
2024.01.16	04:15:00	2051.34	2051.35	2050.06	2050.16	634	0	5
2024.01.16	04:30:00	2050.32	2051.10	2050.08	2050.60	663	0	5
2024.01.16	04:45:00	2050.68	2051.00	2049.76	2050.64	544	0	5
2024.01.16	05:00:00	2050.64	2051.69	2050.53	2050.74	713	0	5
2024.01.16	05:15:00	2050.77	2051.32	2050.46	2050.69	563	0	5
2024.01.16	05:30:00	2050.66	2050.66	2048.42	2048.48	673	0	5
2024.01.16	05:45:00	2048.50	2049.89	2048.44	2049.55	575	0	5
2024.01.16	06:00:00	2049.54	2049.65	2049.04	2049.64	390	0	5
2024.01.16	06:15:00	2049.65	2049.90	2049.18	2049.90	257	0	5
2024.01.16	06:30:00	2049.89	2050.05	2048.99	2049.15	476	0	5
2024.01.16	06:45:00	2049.20	2049.73	2049.05	2049.45	320	0	5
2024.01.16	07:00:00	2049.48	2049.52	2048.87	2049.27	501	0	5
2024.01.16	07:15:00	2049.29	2049.29	2047.96	2049.14	384	0	5
2024.01.16	07:30:00	2049.19	2049.21	2047.56	2047.91	706	0	5
2024.01.16	07:45:00	2047.91	2049.35	2047.77	2048.66	813	0	5
2024.01.16	08:00:00	2048.62	2049.70	2047.36	2049.31	640	0	7
2024.01.16	08:15:00	2049.16	2049.76	2048.67	2049.46	514	0	7
2024.01.16	08:30:00	2049.46	2049.83	2048.66	2049.00	610	0	7
2024.01.16	08:45:00	2048.98	2050.57	2048.92	2050.47	571	0	7
2024.01.16	09:00:00	2050.46	2050.92	2048.93	2049.52	904	0	5
2024.01.16	09:15:00	2049.51	2050.03	2048.12	2049.85	913	0	5
2024.01.16	09:30:00	2049.82	2050.54	2048.58	2049.47	877	0	5
2024.01.16	09:45:00	2049.48	2050.17	2048.68	2049.47	606	0	5
2024.01.16	10:00:00	2049.46	2049.46	2047.13	2047.85	1213	0	5
2024.01.16	10:15:00	2047.96	2050.15	2047.52	2047.62	1315	0	5
2024.01.16	10:30:00	2047.62	2047.62	2042.18	2043.32	1546	0	11
2024.01.16	10:45:00	2043.32	2044.40	2042.54	2043.12	1201	0	5
2024.01.16	11:00:00	2043.10	2043.90	2039.53	2040.34	1332	0	6
2024.01.16	11:15:00	2040.32	2041.05	2038.71	2040.00	1306	0	5
2024.01.16	11:30:00	2039.99	2041.74	2038.77	2039.18	1203	0	5
2024.01.16	11:45:00	2039.21	2041.87	2039.00	2041.28	1047	0	5
2024.01.16	12:00:00	2041.26	2042.44	2040.61	2041.36	1091	0	5
2024.01.16	12:15:00	2041.30	2041.62	2039.96	2039.96	841	0	5
2024.01.16	12:30:00	2039.91	2040.82	2039.28	2040.56	860	0	5
2024.01.16	12:45:00	2040.61	2041.04	2039.68	2040.97	1066	0	5
2024.01.16	13:00:00	2040.96	2041.01	2039.06	2040.26	793	0	5
2024.01.16	13:15:00	2040.25	2041.12	2039.22	2039.45	844	0	5
2024.01.16	13:30:00	2039.44	2040.04	2038.97	2039.45	996	0	5
2024.01.16	13:45:00	2039.45	2040.65	2038.29	2039.91	877	0	5
2024.01.16	14:00:00	2039.87	2040.04	2035.72	2036.29	1054	0	5
2024.01.16	14:15:00	2036.28	2039.04	2035.64	2038.87	1102	0	5
2024.01.16	14:30:00	2038.86	2039.98	2037.56	2038.25	1097	0	5
2024.01.16	14:45:00	2038.29	2038.55	2037.04	2038.50	940	0	5
2024.01.16	15:00:00	2038.50	2039.10	2031.78	2031.96	1546	0	5
2024.01.16	15:15:00	2031.98	2033.69	2031.41	2032.04	1869	0	5
2024.01.16	15:30:00	2032.07	2044.91	2032.07	2043.13	2731	0	5
2024.01.16	15:45:00	2043.28	2043.32	2037.02	2037.64	1929	0	5
2024.01.16	16:00:00	2037.61	2041.55	2037.29	2040.91	1836	0	5
2024.01.16	16:15:00	2040.94	2042.56	2040.14	2041.38	1452	0	5
2024.01.16	16:30:00	2041.33	2042.53	2038.15	2038.30	2267	0	5
2024.01.16	16:45:00	2038.25	2038.58	2036.97	2038.24	1880	0	5
2024.01.16	17:00:00	2038.26	2040.65	2037.41	2039.11	2002	0	5
